step,lr,train_loss,train_acc,val_acc,val_loss
308,0.0009714324306583771,0.254346,90.6250,94.6400,0.183214
309,0.0009713742884828049,0.333023,91.7969,94.6400,0.183214
310,0.0009713159602177078,0.236316,95.7031,94.6400,0.183214
311,0.0009712574458861133,0.251518,91.7969,94.6400,0.183214
312,0.0009711987455111213,0.365621,91.0156,94.6400,0.183214
313,0.0009711398591159061,0.254444,91.7969,94.6400,0.183214
314,0.000971080786723715,0.248093,91.7969,94.6400,0.183214
315,0.000971021528357869,0.261273,91.7969,94.6400,0.183214
316,0.0009709620840417623,0.278901,91.4062,94.6400,0.183214
317,0.0009709024537988626,0.329028,88.6719,94.6400,0.183214
318,0.0009708426376527108,0.235286,92.1875,94.6400,0.183214
319,0.0009707826356269215,0.303477,89.4531,94.6400,0.183214
320,0.0009707224477451827,0.280721,90.6250,94.6400,0.183214
321,0.0009706620740312553,0.247847,92.5781,94.6400,0.183214
322,0.0009706015145089741,0.365089,88.6719,94.6400,0.183214
323,0.000970540769202247,0.281629,91.0156,94.6400,0.183214
324,0.0009704798381350554,0.289671,92.1875,94.6400,0.183214
325,0.0009704187213314538,0.258082,92.1875,94.6400,0.183214
326,0.00097035741881557,0.208279,95.7031,94.6400,0.183214
327,0.0009702959306116055,0.291847,90.6250,94.6400,0.183214
328,0.0009702342567438349,0.280008,92.1875,94.6400,0.183214
329,0.0009701723972366057,0.262384,91.0156,94.6400,0.183214
330,0.0009701103521143395,0.317163,92.5781,94.6400,0.183214
331,0.0009700481214015305,0.215987,94.5312,94.6400,0.183214
332,0.0009699857051227464,0.194563,93.3594,94.6400,0.183214
333,0.0009699231033026281,0.223412,93.3594,94.6400,0.183214
334,0.00096986031596589,0.251561,92.5781,94.6400,0.183214
335,0.0009697973431373194,0.259677,92.9688,94.6400,0.183214
336,0.0009697341848417771,0.217503,94.5312,94.6400,0.183214
337,0.0009696708411041969,0.241275,94.5312,94.6400,0.183214
338,0.0009696073119495859,0.230841,93.7500,94.6400,0.183214
339,0.0009695435974030244,0.239778,93.3594,94.6400,0.183214
340,0.0009694796974896658,0.281490,88.2812,94.6400,0.183214
341,0.000969415612234737,0.182405,95.7031,94.6400,0.183214
342,0.0009693513416635378,0.267192,91.0156,94.6400,0.183214
343,0.0009692868858014412,0.275717,89.4531,94.6400,0.183214
344,0.0009692222446738931,0.286712,89.8438,94.6400,0.183214
345,0.0009691574183064131,0.267323,89.4531,94.6400,0.183214
346,0.0009690924067245934,0.318436,90.2344,94.6400,0.183214
347,0.0009690272099540997,0.315656,91.7969,94.6400,0.183214
348,0.0009689618280206708,0.240948,93.7500,94.6400,0.183214
349,0.000968896260950118,0.243025,92.5781,94.6400,0.183214
350,0.0009688305087683265,0.272883,92.5781,94.6400,0.183214
351,0.0009687645715012541,0.211600,91.7969,94.6400,0.183214
352,0.0009686984491749318,0.279275,92.1875,94.6400,0.183214
353,0.0009686321418154635,0.236344,91.7969,94.6400,0.183214
354,0.0009685656494490268,0.206498,92.9688,94.6400,0.183214
355,0.0009684989721018713,0.372226,88.6719,94.6400,0.183214
356,0.0009684321098003203,0.310758,89.4531,94.6400,0.183214
357,0.0009683650625707701,0.267214,91.0156,94.6400,0.183214
358,0.0009682978304396898,0.282727,90.6250,94.6400,0.183214
359,0.0009682304134336215,0.234552,92.1875,94.6400,0.183214
360,0.0009681628115791805,0.355027,89.8438,94.6400,0.183214
361,0.0009680950249030549,0.224832,92.5781,94.6400,0.183214
362,0.0009680270534320058,0.254418,92.1875,94.6400,0.183214
363,0.0009679588971928673,0.253704,92.9688,94.6400,0.183214
364,0.0009678905562125462,0.194850,92.5781,94.6400,0.183214
365,0.0009678220305180227,0.181282,94.5312,94.6400,0.183214
366,0.0009677533201363496,0.277885,90.6250,94.6400,0.183214
367,0.0009676844250946526,0.279371,90.6250,94.6400,0.183214
368,0.0009676153454201304,0.240071,92.5781,94.6400,0.183214
369,0.0009675460811400548,0.357030,89.0625,94.6400,0.183214
370,0.0009674766322817697,0.323686,89.8438,94.6400,0.183214
371,0.0009674069988726928,0.248466,92.5781,94.6400,0.183214
372,0.000967337180940314,0.296535,90.6250,94.6400,0.183214
373,0.0009672671785121967,0.224279,91.0156,94.6400,0.183214
374,0.0009671969916159766,0.237121,91.0156,94.6400,0.183214
375,0.0009671266202793622,0.270265,91.0156,94.6400,0.183214
376,0.0009670560645301351,0.217335,94.1406,94.6400,0.183214
377,0.0009669853243961498,0.287094,90.6250,94.6400,0.183214
378,0.000966914399905333,0.289135,91.4062,94.6400,0.183214
379,0.0009668432910856847,0.274482,92.1875,94.6400,0.183214
380,0.0009667719979652777,0.212525,93.3594,94.6400,0.183214
381,0.0009667005205722573,0.387629,91.0156,94.6400,0.183214
382,0.0009666288589348414,0.173194,95.7031,94.6400,0.183214
383,0.0009665570130813214,0.249127,92.1875,94.6400,0.183214
384,0.0009664849830400604,0.322985,90.6250,94.6400,0.183214
385,0.000966412768839495,0.281454,91.7969,94.6400,0.183214
386,0.0009663403705081343,0.282872,91.0156,94.6400,0.183214
387,0.0009662677880745596,0.275541,94.5312,94.6400,0.183214
388,0.0009661950215674258,0.314830,91.7969,94.6400,0.183214
389,0.0009661220710154596,0.278134,92.1875,94.6400,0.183214
390,0.0009660489364474609,0.212700,94.5312,94.6400,0.183214
391,0.000965975617892302,0.247495,92.1875,94.6400,0.183214
392,0.0009659021153789278,0.238425,92.9688,94.6400,0.183214
393,0.0009658284289363563,0.340426,90.2344,94.6400,0.183214
394,0.0009657545585936774,0.296754,90.2344,94.6400,0.183214
395,0.0009656805043800538,0.269428,93.7500,94.6400,0.183214
396,0.0009656062663247213,0.207544,92.9688,94.6400,0.183214
397,0.0009655318444569879,0.386913,88.2812,94.6400,0.183214
398,0.000965457238806234,0.255722,92.9688,94.6400,0.183214
399,0.0009653824494019128,0.225419,92.9688,94.5500,0.168816
400,0.0009653074762735498,0.318236,89.8438,94.5500,0.168816
401,0.0009652323194507435,0.177663,93.7500,94.5500,0.168816
402,0.0009651569789631644,0.276669,92.9688,94.5500,0.168816
403,0.0009650814548405559,0.147819,95.3125,94.5500,0.168816
404,0.0009650057471127336,0.324765,88.6719,94.5500,0.168816
405,0.0009649298558095856,0.249354,91.4062,94.5500,0.168816
406,0.0009648537809610728,0.218545,92.9688,94.5500,0.168816
407,0.0009647775225972284,0.219490,93.7500,94.5500,0.168816
408,0.0009647010807481578,0.216384,93.7500,94.5500,0.168816
409,0.0009646244554440391,0.238971,92.9688,94.5500,0.168816
410,0.0009645476467151227,0.210026,93.7500,94.5500,0.168816
411,0.0009644706545917316,0.186788,91.7969,94.5500,0.168816
412,0.000964393479104261,0.257012,91.0156,94.5500,0.168816
413,0.0009643161202831785,0.265894,91.0156,94.5500,0.168816
414,0.0009642385781590242,0.219891,93.7500,94.5500,0.168816
415,0.0009641608527624106,0.237017,92.1875,94.5500,0.168816
416,0.0009640829441240223,0.214436,94.5312,94.5500,0.168816
417,0.0009640048522746164,0.192278,92.1875,94.5500,0.168816
418,0.0009639265772450224,0.195603,93.3594,94.5500,0.168816
419,0.000963848119066142,0.215923,92.9688,94.5500,0.168816
420,0.0009637694777689495,0.146724,96.4844,94.5500,0.168816
421,0.0009636906533844907,0.236289,92.9688,94.5500,0.168816
422,0.0009636116459438847,0.207762,94.5312,94.5500,0.168816
423,0.0009635324554783221,0.219631,91.0156,94.5500,0.168816
424,0.0009634530820190663,0.200190,93.3594,94.5500,0.168816
425,0.0009633735255974524,0.194960,93.3594,94.5500,0.168816
426,0.0009632937862448881,0.278660,92.5781,94.5500,0.168816
427,0.0009632138639928534,0.334046,91.4062,94.5500,0.168816
428,0.0009631337588729002,0.260776,91.7969,94.5500,0.168816
429,0.0009630534709166529,0.248649,92.1875,94.5500,0.168816
430,0.0009629730001558075,0.101740,97.6562,94.5500,0.168816
431,0.0009628923466221329,0.241267,93.3594,94.5500,0.168816
432,0.00096281151034747,0.193193,94.9219,94.5500,0.168816
433,0.0009627304913637314,0.203496,94.9219,94.5500,0.168816
434,0.000962649289702902,0.185069,93.7500,94.5500,0.168816
435,0.0009625679053970392,0.222920,94.1406,94.5500,0.168816
436,0.0009624863384782722,0.218033,93.7500,94.5500,0.168816
437,0.0009624045889788022,0.200721,92.9688,94.5500,0.168816
438,0.0009623226569309028,0.198302,93.7500,94.5500,0.168816
439,0.0009622405423669193,0.232277,92.1875,94.5500,0.168816
440,0.0009621582453192693,0.177373,92.9688,94.5500,0.168816
441,0.0009620757658204423,0.255553,92.5781,94.5500,0.168816
442,0.0009619931039030001,0.284083,92.9688,94.5500,0.168816
443,0.0009619102595995761,0.149549,96.0938,94.5500,0.168816
444,0.000961827232942876,0.164124,94.9219,94.5500,0.168816
445,0.0009617440239656773,0.207757,92.9688,94.5500,0.168816
446,0.0009616606327008297,0.219997,94.5312,94.5500,0.168816
447,0.0009615770591812548,0.185549,95.3125,94.5500,0.168816
448,0.0009614933034399461,0.239541,91.0156,94.5500,0.168816
449,0.000961409365509969,0.276116,92.5781,94.5500,0.168816
450,0.0009613252454244608,0.208797,91.4062,94.5500,0.168816
451,0.0009612409432166307,0.217488,94.1406,94.5500,0.168816
452,0.0009611564589197602,0.193686,92.9688,94.5500,0.168816
453,0.000961071792567202,0.189258,96.4844,94.5500,0.168816
454,0.0009609869441923812,0.190825,94.1406,94.5500,0.168816
455,0.0009609019138287948,0.166377,94.1406,94.5500,0.168816
